starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 15:26:27 2026	1776938187	0	3	3	3
Thu Apr 23 15:26:28 2026	1776938188	0	3	3	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	3
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	3
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	3
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	3
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	3
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	3	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	4	4	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	4	0
Thu Apr 23 15:26:27 2026	1776938187	0	5	5	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	5	0
Thu Apr 23 15:26:27 2026	1776938187	0	5	5	4
Thu Apr 23 15:26:27 2026	1776938187	0	5	5	4
Thu Apr 23 15:26:28 2026	1776938188	2	2	5	0
Thu Apr 23 15:26:28 2026	1776938188	3	2	5	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	5	0
Thu Apr 23 15:26:27 2026	1776938187	0	5	5	5
Thu Apr 23 15:26:28 2026	1776938188	2	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	2	2	5	0
Thu Apr 23 15:26:27 2026	1776938187	0	5	5	5
Thu Apr 23 15:26:28 2026	1776938188	2	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	3	2	5	0
Thu Apr 23 15:26:27 2026	1776938187	0	5	5	5
Thu Apr 23 15:26:28 2026	1776938188	2	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	3	2	5	0
Thu Apr 23 15:26:28 2026	1776938188	2	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	2	3	5	0
Thu Apr 23 15:26:27 2026	1776938187	0	5	5	5
Thu Apr 23 15:26:28 2026	1776938188	3	2	5	0
Thu Apr 23 15:26:28 2026	1776938188	3	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	2	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	0	5	5	5
Thu Apr 23 15:26:28 2026	1776938188	2	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	3	2	5	0
Thu Apr 23 15:26:28 2026	1776938188	3	3	5	0
Thu Apr 23 15:26:28 2026	1776938188	3	3	6	0
Thu Apr 23 15:26:27 2026	1776938187	0	6	6	5
Thu Apr 23 15:26:28 2026	1776938188	3	3	6	0
Thu Apr 23 15:26:28 2026	1776938188	3	3	6	0
Thu Apr 23 15:26:27 2026	1776938187	0	6	6	6
Thu Apr 23 15:26:27 2026	1776938187	0	6	6	5
Thu Apr 23 15:26:28 2026	1776938188	3	3	6	0
Thu Apr 23 15:26:27 2026	1776938187	0	6	6	6
Thu Apr 23 15:26:28 2026	1776938188	3	3	6	0
Thu Apr 23 15:26:28 2026	1776938188	3	3	6	0
Thu Apr 23 15:26:28 2026	1776938188	2	4	6	0
Thu Apr 23 15:26:28 2026	1776938188	4	3	7	0
Thu Apr 23 15:26:28 2026	1776938188	5	2	7	0
Thu Apr 23 15:26:27 2026	1776938187	0	7	7	6
Thu Apr 23 15:26:28 2026	1776938188	4	3	7	0
Thu Apr 23 15:26:27 2026	1776938187	0	7	7	7
Thu Apr 23 15:26:28 2026	1776938188	3	4	8	0
Thu Apr 23 15:26:27 2026	1776938187	0	8	8	7
Thu Apr 23 15:26:28 2026	1776938188	0	8	8	8
Thu Apr 23 15:26:27 2026	1776938187	0	8	8	8
Thu Apr 23 15:26:28 2026	1776938188	2	7	9	0
Thu Apr 23 15:26:28 2026	1776938188	6	6	12	0
Thu Apr 23 15:26:28 2026	1776938188	0	102	102	102
Thu Apr 23 15:26:07 2026	1776938167	0	153	153	153
Thu Apr 23 15:26:27 2026	1776938187	0	191	191	191
Thu Apr 23 15:26:04 2026	1776938164	0	204	204	204
Thu Apr 23 15:26:28 2026	1776938188	0	205	205	204
Thu Apr 23 15:26:27 2026	1776938187	0	207	207	206
Thu Apr 23 15:26:27 2026	1776938187	0	272	272	272
Thu Apr 23 15:26:27 2026	1776938187	0	296	296	296
Thu Apr 23 15:26:03 2026	1776938163	0	307	307	306
Thu Apr 23 15:26:03 2026	1776938163	0	308	308	308
Thu Apr 23 15:26:03 2026	1776938163	198	410	608	409
Thu Apr 23 15:26:04 2026	1776938164	0	2703	2703	2703
Thu Apr 23 15:26:07 2026	1776938167	0	19775	19775	19774
