Percentage served,Time in ms
0,3.731
1,3.914
2,3.983
3,4.047
4,4.174
5,4.207
6,4.230
7,4.271
8,4.311
9,4.345
10,4.350
11,4.370
12,4.401
13,4.422
14,4.444
15,4.453
16,4.464
17,4.541
18,4.564
19,4.580
20,4.603
21,4.608
22,4.660
23,4.660
24,4.663
25,4.678
26,4.683
27,4.727
28,4.738
29,4.797
30,4.807
31,4.822
32,4.823
33,4.843
34,4.860
35,4.864
36,4.954
37,5.002
38,5.029
39,5.042
40,5.067
41,5.148
42,5.214
43,5.227
44,5.247
45,5.330
46,5.338
47,5.343
48,5.364
49,5.398
50,5.436
51,5.489
52,5.501
53,5.518
54,5.525
55,5.595
56,5.600
57,5.620
58,5.718
59,5.756
60,5.771
61,5.826
62,5.926
63,5.998
64,6.022
65,6.228
66,6.250
67,6.420
68,6.436
69,6.561
70,6.648
71,7.060
72,7.167
73,7.257
74,7.288
75,7.463
76,7.478
77,7.491
78,7.635
79,7.853
80,7.995
81,8.492
82,8.929
83,9.335
84,9.539
85,10.340
86,11.117
87,409.374
88,921.199
89,1125.824
90,1740.877
91,3277.565
92,3788.975
93,22936.380
94,30515.015
95,120115.598
96,120217.772
97,120217.928
98,120218.084
99,120397.321
100,120397.321
