Percentage served,Time in ms
0,3.946
1,4.075
2,4.228
3,4.318
4,4.456
5,4.470
6,4.478
7,4.564
8,4.583
9,4.626
10,5.146
11,5.334
12,5.394
13,5.727
14,5.772
15,6.760
16,6.966
17,7.023
18,7.044
19,7.323
20,7.625
21,7.909
22,7.977
23,8.353
24,8.367
25,8.395
26,8.530
27,8.635
28,8.928
29,9.169
30,9.224
31,9.264
32,9.301
33,9.319
34,9.512
35,9.644
36,9.956
37,9.960
38,9.983
39,10.038
40,10.081
41,10.098
42,10.379
43,10.442
44,10.495
45,10.501
46,10.520
47,10.539
48,10.628
49,10.754
50,10.834
51,10.861
52,10.916
53,10.959
54,10.973
55,10.977
56,11.059
57,11.074
58,11.077
59,11.156
60,11.215
61,11.455
62,11.540
63,11.855
64,11.890
65,12.041
66,12.063
67,12.162
68,12.219
69,12.276
70,12.477
71,12.508
72,12.549
73,12.980
74,13.730
75,13.772
76,13.837
77,14.106
78,14.245
79,14.511
80,15.564
81,15.962
82,16.216
83,16.426
84,16.465
85,18.192
86,21.782
87,22.757
88,2761.890
89,3992.411
90,6758.594
91,8807.963
92,9931.869
93,22118.996
94,67072.701
95,120022.271
96,120219.547
97,120219.621
98,120222.953
99,120290.799
100,120290.799
