starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 15:51:06 2026	1776939666	2	2	4	0
Thu Apr 23 15:51:05 2026	1776939665	2	2	4	2
Thu Apr 23 15:51:06 2026	1776939666	2	2	4	0
Thu Apr 23 15:51:06 2026	1776939666	2	2	4	0
Thu Apr 23 15:51:06 2026	1776939666	3	2	4	0
Thu Apr 23 15:51:05 2026	1776939665	0	4	4	4
Thu Apr 23 15:51:06 2026	1776939666	2	2	4	0
Thu Apr 23 15:51:06 2026	1776939666	3	2	5	0
Thu Apr 23 15:51:06 2026	1776939666	2	2	5	0
Thu Apr 23 15:51:06 2026	1776939666	2	2	5	0
Thu Apr 23 15:51:06 2026	1776939666	2	3	5	0
Thu Apr 23 15:51:06 2026	1776939666	3	3	5	0
Thu Apr 23 15:51:05 2026	1776939665	3	2	5	0
Thu Apr 23 15:51:06 2026	1776939666	3	3	6	0
Thu Apr 23 15:51:06 2026	1776939666	2	4	6	0
Thu Apr 23 15:51:06 2026	1776939666	4	3	7	0
Thu Apr 23 15:51:05 2026	1776939665	4	3	7	3
Thu Apr 23 15:51:06 2026	1776939666	4	3	7	0
Thu Apr 23 15:51:05 2026	1776939665	4	3	7	3
Thu Apr 23 15:51:05 2026	1776939665	3	5	7	4
Thu Apr 23 15:51:05 2026	1776939665	4	4	8	4
Thu Apr 23 15:51:06 2026	1776939666	4	3	8	0
Thu Apr 23 15:51:05 2026	1776939665	4	4	8	4
Thu Apr 23 15:51:05 2026	1776939665	4	4	8	0
Thu Apr 23 15:51:06 2026	1776939666	4	4	8	0
Thu Apr 23 15:51:05 2026	1776939665	2	6	8	6
Thu Apr 23 15:51:05 2026	1776939665	5	4	9	4
Thu Apr 23 15:51:06 2026	1776939666	2	6	9	0
Thu Apr 23 15:51:05 2026	1776939665	5	4	9	4
Thu Apr 23 15:51:06 2026	1776939666	5	5	9	0
Thu Apr 23 15:51:05 2026	1776939665	5	4	9	4
Thu Apr 23 15:51:05 2026	1776939665	5	5	9	5
Thu Apr 23 15:51:05 2026	1776939665	5	5	9	4
Thu Apr 23 15:51:05 2026	1776939665	5	4	9	4
Thu Apr 23 15:51:05 2026	1776939665	5	5	10	4
Thu Apr 23 15:51:05 2026	1776939665	6	4	10	4
Thu Apr 23 15:51:06 2026	1776939666	6	4	10	0
Thu Apr 23 15:51:05 2026	1776939665	5	5	10	5
Thu Apr 23 15:51:05 2026	1776939665	5	5	10	5
Thu Apr 23 15:51:05 2026	1776939665	4	6	10	0
Thu Apr 23 15:51:05 2026	1776939665	5	5	10	5
Thu Apr 23 15:51:06 2026	1776939666	4	6	10	0
Thu Apr 23 15:51:05 2026	1776939665	4	6	10	6
Thu Apr 23 15:51:05 2026	1776939665	4	7	10	7
Thu Apr 23 15:51:05 2026	1776939665	6	5	10	5
Thu Apr 23 15:51:05 2026	1776939665	5	5	11	0
Thu Apr 23 15:51:05 2026	1776939665	5	6	11	6
Thu Apr 23 15:51:05 2026	1776939665	4	7	11	6
Thu Apr 23 15:51:05 2026	1776939665	6	5	11	5
Thu Apr 23 15:51:05 2026	1776939665	5	6	11	5
Thu Apr 23 15:51:06 2026	1776939666	5	6	11	0
Thu Apr 23 15:51:06 2026	1776939666	4	7	11	0
Thu Apr 23 15:51:06 2026	1776939666	5	6	11	0
Thu Apr 23 15:51:05 2026	1776939665	6	5	11	5
Thu Apr 23 15:51:06 2026	1776939666	6	5	11	0
Thu Apr 23 15:51:05 2026	1776939665	7	4	11	4
Thu Apr 23 15:51:05 2026	1776939665	5	6	11	6
Thu Apr 23 15:51:05 2026	1776939665	3	8	11	8
Thu Apr 23 15:51:06 2026	1776939666	6	5	11	0
Thu Apr 23 15:51:06 2026	1776939666	5	6	11	0
Thu Apr 23 15:51:05 2026	1776939665	5	6	11	6
Thu Apr 23 15:51:05 2026	1776939665	6	5	11	5
Thu Apr 23 15:51:05 2026	1776939665	5	7	12	6
Thu Apr 23 15:51:06 2026	1776939666	6	6	12	0
Thu Apr 23 15:51:05 2026	1776939665	6	6	12	6
Thu Apr 23 15:51:05 2026	1776939665	6	6	12	6
Thu Apr 23 15:51:05 2026	1776939665	6	6	12	6
Thu Apr 23 15:51:05 2026	1776939665	7	5	12	5
Thu Apr 23 15:51:05 2026	1776939665	3	9	12	9
Thu Apr 23 15:51:05 2026	1776939665	5	7	12	7
Thu Apr 23 15:51:05 2026	1776939665	6	7	12	6
Thu Apr 23 15:51:06 2026	1776939666	6	7	13	0
Thu Apr 23 15:51:05 2026	1776939665	4	9	13	8
Thu Apr 23 15:51:05 2026	1776939665	7	6	13	5
Thu Apr 23 15:51:06 2026	1776939666	6	8	14	0
Thu Apr 23 15:51:05 2026	1776939665	8	6	14	6
Thu Apr 23 15:51:05 2026	1776939665	3	11	14	10
Thu Apr 23 15:51:05 2026	1776939665	6	8	14	0
Thu Apr 23 15:51:06 2026	1776939666	8	6	14	0
Thu Apr 23 15:51:06 2026	1776939666	5	10	15	0
Thu Apr 23 15:51:06 2026	1776939666	13	3	16	0
Thu Apr 23 15:51:06 2026	1776939666	7	9	16	0
Thu Apr 23 15:51:06 2026	1776939666	11	5	16	0
Thu Apr 23 15:51:05 2026	1776939665	10	7	16	7
Thu Apr 23 15:51:05 2026	1776939665	12	4	16	4
Thu Apr 23 15:51:06 2026	1776939666	6	12	18	0
Thu Apr 23 15:51:06 2026	1776939666	16	6	22	0
Thu Apr 23 15:51:05 2026	1776939665	15	8	23	8
Thu Apr 23 15:45:13 2026	1776939313	202	2560	2762	2560
Thu Apr 23 15:47:25 2026	1776939445	0	3992	3992	3992
Thu Apr 23 15:50:36 2026	1776939636	103	6656	6759	6656
Thu Apr 23 15:47:16 2026	1776939436	103	8705	8808	8705
Thu Apr 23 15:43:03 2026	1776939183	3	9929	9932	9929
