Percentage served,Time in ms
0,5.283
1,14.565
2,37.516
3,51.301
4,61.265
5,66.237
6,87.560
7,94.300
8,94.946
9,95.489
10,100.153
11,100.213
12,100.977
13,101.666
14,101.890
15,101.958
16,102.300
17,102.346
18,102.418
19,102.432
20,102.569
21,102.575
22,103.160
23,103.326
24,104.459
25,104.858
26,107.357
27,119.627
28,122.298
29,126.174
30,137.604
31,143.783
32,152.158
33,194.593
34,198.064
35,199.068
36,199.142
37,199.772
38,200.015
39,200.079
40,200.377
41,200.669
42,200.689
43,200.985
44,201.442
45,201.760
46,201.913
47,201.976
48,203.052
49,204.209
50,204.738
51,204.746
52,204.765
53,204.879
54,204.949
55,204.993
56,205.731
57,205.818
58,205.978
59,206.033
60,206.426
61,206.800
62,206.845
63,206.871
64,207.450
65,207.801
66,208.117
67,208.169
68,208.230
69,208.554
70,208.793
71,208.875
72,209.074
73,209.243
74,209.382
75,211.038
76,211.489
77,211.694
78,212.447
79,306.842
80,307.157
81,307.192
82,322.378
83,357.357
84,365.597
85,406.898
86,411.104
87,415.316
88,422.076
89,433.887
90,461.119
91,481.430
92,604.200
93,607.443
94,769.777
95,893.603
96,913.331
97,1637.976
98,6489.056
99,39696.684
100,39696.684
