starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:15:06 2026	1776926706	0	5	5	5
Thu Apr 23 12:15:07 2026	1776926707	0	15	15	14
Thu Apr 23 12:15:54 2026	1776926754	0	38	38	37
Thu Apr 23 12:16:10 2026	1776926770	0	51	51	51
Thu Apr 23 12:16:10 2026	1776926770	0	61	61	61
Thu Apr 23 12:16:07 2026	1776926767	0	66	66	66
Thu Apr 23 12:16:11 2026	1776926771	0	88	88	87
Thu Apr 23 12:15:06 2026	1776926706	0	94	94	94
Thu Apr 23 12:16:13 2026	1776926773	0	95	95	94
Thu Apr 23 12:16:04 2026	1776926764	0	95	95	95
Thu Apr 23 12:16:09 2026	1776926769	0	100	100	100
Thu Apr 23 12:16:11 2026	1776926771	0	100	100	100
Thu Apr 23 12:16:11 2026	1776926771	0	101	101	101
Thu Apr 23 12:16:11 2026	1776926771	0	102	102	101
Thu Apr 23 12:15:06 2026	1776926706	0	102	102	102
Thu Apr 23 12:16:07 2026	1776926767	0	102	102	102
Thu Apr 23 12:16:09 2026	1776926769	0	102	102	102
Thu Apr 23 12:16:10 2026	1776926770	0	102	102	102
Thu Apr 23 12:16:09 2026	1776926769	0	102	102	102
Thu Apr 23 12:16:13 2026	1776926773	0	102	102	102
Thu Apr 23 12:16:04 2026	1776926764	0	103	103	102
Thu Apr 23 12:15:07 2026	1776926707	0	103	103	102
Thu Apr 23 12:15:06 2026	1776926706	0	103	103	103
Thu Apr 23 12:16:04 2026	1776926764	0	103	103	103
Thu Apr 23 12:16:05 2026	1776926765	0	104	104	104
Thu Apr 23 12:16:10 2026	1776926770	0	105	105	105
Thu Apr 23 12:16:02 2026	1776926762	0	107	107	107
Thu Apr 23 12:16:11 2026	1776926771	0	120	120	119
Thu Apr 23 12:15:07 2026	1776926707	0	122	122	122
Thu Apr 23 12:15:07 2026	1776926707	0	126	126	126
Thu Apr 23 12:16:07 2026	1776926767	0	138	138	137
Thu Apr 23 12:15:07 2026	1776926707	0	144	144	144
Thu Apr 23 12:16:03 2026	1776926763	0	152	152	152
Thu Apr 23 12:16:10 2026	1776926770	0	195	195	194
Thu Apr 23 12:16:12 2026	1776926772	0	198	198	198
Thu Apr 23 12:16:07 2026	1776926767	0	199	199	199
Thu Apr 23 12:16:02 2026	1776926762	0	199	199	199
Thu Apr 23 12:16:14 2026	1776926774	0	200	200	199
Thu Apr 23 12:16:12 2026	1776926772	0	200	200	200
Thu Apr 23 12:16:04 2026	1776926764	0	200	200	199
