Percentage served,Time in ms
0,8.445
1,31.742
2,37.066
3,37.444
4,40.162
5,41.698
6,41.751
7,43.542
8,43.602
9,44.562
10,44.709
11,45.295
12,46.657
13,48.075
14,49.102
15,49.169
16,49.306
17,49.453
18,49.601
19,49.716
20,50.283
21,50.537
22,50.668
23,51.006
24,51.094
25,51.127
26,51.720
27,51.863
28,51.873
29,51.962
30,52.319
31,52.427
32,53.043
33,53.068
34,53.488
35,53.892
36,54.693
37,54.976
38,55.072
39,55.217
40,55.309
41,55.329
42,55.339
43,55.636
44,56.120
45,56.563
46,56.744
47,56.901
48,57.336
49,57.551
50,58.885
51,58.934
52,59.447
53,59.743
54,60.017
55,60.197
56,60.604
57,60.949
58,61.157
59,61.993
60,62.288
61,62.316
62,62.669
63,62.806
64,64.845
65,65.152
66,65.308
67,65.385
68,65.453
69,65.957
70,67.401
71,67.496
72,67.924
73,68.766
74,69.763
75,70.703
76,72.714
77,73.156
78,73.695
79,74.260
80,79.649
81,81.756
82,84.370
83,85.436
84,85.728
85,88.868
86,90.401
87,102.366
88,103.482
89,106.039
90,203.953
91,205.791
92,306.679
93,307.133
94,440.799
95,647.870
96,1458.638
97,1959.240
98,3219.282
99,120011.362
100,120011.362
