starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:24:05 2026	1776927245	0	8	8	7
Thu Apr 23 12:26:17 2026	1776927377	0	32	32	31
Thu Apr 23 12:26:11 2026	1776927371	0	37	37	37
Thu Apr 23 12:26:11 2026	1776927371	0	37	37	37
Thu Apr 23 12:26:14 2026	1776927374	0	40	40	39
Thu Apr 23 12:26:17 2026	1776927377	0	42	42	41
Thu Apr 23 12:26:16 2026	1776927376	0	42	42	42
Thu Apr 23 12:26:14 2026	1776927374	0	44	44	43
Thu Apr 23 12:26:15 2026	1776927375	0	44	44	43
Thu Apr 23 12:26:13 2026	1776927373	0	45	45	44
Thu Apr 23 12:26:15 2026	1776927375	0	45	45	44
Thu Apr 23 12:26:17 2026	1776927377	0	45	45	44
Thu Apr 23 12:26:11 2026	1776927371	0	47	47	46
Thu Apr 23 12:26:11 2026	1776927371	0	48	48	47
Thu Apr 23 12:26:15 2026	1776927375	0	49	49	48
Thu Apr 23 12:26:17 2026	1776927377	0	49	49	48
Thu Apr 23 12:26:11 2026	1776927371	0	49	49	48
Thu Apr 23 12:26:11 2026	1776927371	0	49	49	49
Thu Apr 23 12:26:14 2026	1776927374	0	50	50	48
Thu Apr 23 12:26:14 2026	1776927374	0	50	50	49
Thu Apr 23 12:26:17 2026	1776927377	0	50	50	49
Thu Apr 23 12:26:16 2026	1776927376	0	51	51	50
Thu Apr 23 12:26:15 2026	1776927375	0	51	51	50
Thu Apr 23 12:26:16 2026	1776927376	0	51	51	50
Thu Apr 23 12:26:15 2026	1776927375	0	51	51	50
Thu Apr 23 12:26:16 2026	1776927376	0	51	51	50
Thu Apr 23 12:26:14 2026	1776927374	0	52	52	50
Thu Apr 23 12:26:16 2026	1776927376	0	52	52	51
Thu Apr 23 12:26:14 2026	1776927374	0	52	52	51
Thu Apr 23 12:26:13 2026	1776927373	0	52	52	52
Thu Apr 23 12:26:16 2026	1776927376	0	52	52	52
Thu Apr 23 12:26:16 2026	1776927376	0	52	52	52
Thu Apr 23 12:26:15 2026	1776927375	0	53	53	52
Thu Apr 23 12:26:15 2026	1776927375	0	53	53	52
Thu Apr 23 12:26:15 2026	1776927375	0	53	53	53
Thu Apr 23 12:26:18 2026	1776927378	0	54	54	52
Thu Apr 23 12:26:16 2026	1776927376	0	55	55	54
Thu Apr 23 12:26:15 2026	1776927375	0	55	55	54
Thu Apr 23 12:26:14 2026	1776927374	0	55	55	54
Thu Apr 23 12:26:11 2026	1776927371	0	55	55	55
Thu Apr 23 12:26:17 2026	1776927377	0	55	55	55
Thu Apr 23 12:26:15 2026	1776927375	0	55	55	54
Thu Apr 23 12:26:16 2026	1776927376	0	55	55	55
Thu Apr 23 12:26:14 2026	1776927374	0	56	56	55
Thu Apr 23 12:26:14 2026	1776927374	0	56	56	55
Thu Apr 23 12:26:15 2026	1776927375	0	57	57	55
Thu Apr 23 12:26:16 2026	1776927376	0	57	57	56
Thu Apr 23 12:26:11 2026	1776927371	0	57	57	57
Thu Apr 23 12:26:16 2026	1776927376	0	57	57	56
Thu Apr 23 12:26:15 2026	1776927375	0	58	58	56
Thu Apr 23 12:26:18 2026	1776927378	0	59	59	58
Thu Apr 23 12:26:13 2026	1776927373	0	59	59	58
Thu Apr 23 12:26:13 2026	1776927373	0	59	59	59
Thu Apr 23 12:26:16 2026	1776927376	0	60	60	59
Thu Apr 23 12:26:16 2026	1776927376	0	60	60	60
Thu Apr 23 12:26:16 2026	1776927376	0	60	60	59
Thu Apr 23 12:26:15 2026	1776927375	0	61	61	60
Thu Apr 23 12:26:13 2026	1776927373	0	61	61	60
Thu Apr 23 12:26:16 2026	1776927376	0	61	61	61
Thu Apr 23 12:26:14 2026	1776927374	0	62	62	61
Thu Apr 23 12:26:17 2026	1776927377	0	62	62	62
Thu Apr 23 12:26:17 2026	1776927377	0	62	62	61
Thu Apr 23 12:26:11 2026	1776927371	0	63	63	62
Thu Apr 23 12:26:14 2026	1776927374	0	63	63	62
Thu Apr 23 12:26:16 2026	1776927376	0	65	65	64
Thu Apr 23 12:26:15 2026	1776927375	0	65	65	65
Thu Apr 23 12:26:17 2026	1776927377	0	65	65	64
Thu Apr 23 12:26:16 2026	1776927376	0	65	65	64
Thu Apr 23 12:26:15 2026	1776927375	0	65	65	65
Thu Apr 23 12:26:15 2026	1776927375	0	66	66	66
Thu Apr 23 12:26:18 2026	1776927378	0	67	67	67
Thu Apr 23 12:26:14 2026	1776927374	0	67	67	67
Thu Apr 23 12:26:18 2026	1776927378	0	68	68	66
Thu Apr 23 12:26:15 2026	1776927375	0	69	69	68
Thu Apr 23 12:26:14 2026	1776927374	0	70	70	69
Thu Apr 23 12:26:11 2026	1776927371	0	71	71	70
Thu Apr 23 12:26:15 2026	1776927375	0	73	73	72
Thu Apr 23 12:26:17 2026	1776927377	0	73	73	72
Thu Apr 23 12:26:14 2026	1776927374	0	74	74	73
