Percentage served,Time in ms
0,16.995
1,52.913
2,55.797
3,55.985
4,59.952
5,67.375
6,68.032
7,69.061
8,70.667
9,73.811
10,76.006
11,76.815
12,76.983
13,77.531
14,78.799
15,80.694
16,84.457
17,85.175
18,85.627
19,86.504
20,86.918
21,87.986
22,88.954
23,92.264
24,94.870
25,95.069
26,95.943
27,100.837
28,101.400
29,101.635
30,101.819
31,101.929
32,101.937
33,101.960
34,101.975
35,102.050
36,102.068
37,102.101
38,102.107
39,102.114
40,102.144
41,102.192
42,102.200
43,102.216
44,102.235
45,102.245
46,102.263
47,102.264
48,102.316
49,102.400
50,102.400
51,102.421
52,102.448
53,102.467
54,102.481
55,102.520
56,102.530
57,102.531
58,102.539
59,102.561
60,102.570
61,102.604
62,102.674
63,102.698
64,102.709
65,102.735
66,102.745
67,102.766
68,102.824
69,102.912
70,102.920
71,102.935
72,102.977
73,102.994
74,103.043
75,103.088
76,104.039
77,104.323
78,105.061
79,105.919
80,109.945
81,109.988
82,111.145
83,116.615
84,122.528
85,146.226
86,150.084
87,194.484
88,204.352
89,204.792
90,204.849
91,205.022
92,205.126
93,205.698
94,307.361
95,311.762
96,393.977
97,4807.448
98,12472.001
99,14755.204
100,14755.204
