starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:50:45 2026	1776928845	0	5	5	5
Thu Apr 23 12:50:45 2026	1776928845	0	5	5	5
Thu Apr 23 12:50:48 2026	1776928848	0	7	7	6
Thu Apr 23 12:50:43 2026	1776928843	0	7	7	7
Thu Apr 23 12:50:48 2026	1776928848	0	8	8	7
Thu Apr 23 12:50:48 2026	1776928848	0	8	8	8
Thu Apr 23 12:50:48 2026	1776928848	0	8	8	7
Thu Apr 23 12:50:48 2026	1776928848	0	8	8	8
Thu Apr 23 12:50:40 2026	1776928840	0	11	11	10
Thu Apr 23 12:50:43 2026	1776928843	0	27	27	26
Thu Apr 23 12:50:44 2026	1776928844	0	34	34	34
Thu Apr 23 12:50:43 2026	1776928843	0	48	48	48
Thu Apr 23 12:50:44 2026	1776928844	0	56	56	56
Thu Apr 23 12:50:43 2026	1776928843	0	67	67	66
Thu Apr 23 12:50:48 2026	1776928848	0	72	72	72
Thu Apr 23 12:50:44 2026	1776928844	0	77	77	76
Thu Apr 23 12:50:44 2026	1776928844	0	79	79	79
Thu Apr 23 12:50:45 2026	1776928845	0	93	93	93
Thu Apr 23 12:50:48 2026	1776928848	0	95	95	95
Thu Apr 23 12:50:44 2026	1776928844	0	96	96	96
Thu Apr 23 12:50:46 2026	1776928846	0	100	100	100
Thu Apr 23 12:50:28 2026	1776928828	0	101	101	101
Thu Apr 23 12:50:45 2026	1776928845	0	101	101	101
Thu Apr 23 12:50:49 2026	1776928849	0	102	102	101
Thu Apr 23 12:50:47 2026	1776928847	0	102	102	102
Thu Apr 23 12:50:50 2026	1776928850	0	102	102	101
Thu Apr 23 12:50:49 2026	1776928849	0	102	102	101
Thu Apr 23 12:50:49 2026	1776928849	0	102	102	102
Thu Apr 23 12:50:47 2026	1776928847	0	102	102	102
Thu Apr 23 12:50:50 2026	1776928850	0	102	102	102
Thu Apr 23 12:50:50 2026	1776928850	0	102	102	102
Thu Apr 23 12:50:45 2026	1776928845	0	102	102	102
Thu Apr 23 12:50:44 2026	1776928844	0	102	102	101
Thu Apr 23 12:50:46 2026	1776928846	0	102	102	102
Thu Apr 23 12:50:46 2026	1776928846	0	102	102	102
Thu Apr 23 12:50:45 2026	1776928845	0	102	102	102
Thu Apr 23 12:50:47 2026	1776928847	0	102	102	101
Thu Apr 23 12:50:46 2026	1776928846	0	102	102	101
Thu Apr 23 12:50:50 2026	1776928850	0	102	102	101
Thu Apr 23 12:50:46 2026	1776928846	0	102	102	102
Thu Apr 23 12:50:49 2026	1776928849	0	102	102	102
Thu Apr 23 12:50:47 2026	1776928847	0	102	102	102
Thu Apr 23 12:50:45 2026	1776928845	0	102	102	102
Thu Apr 23 12:50:47 2026	1776928847	0	102	102	101
Thu Apr 23 12:50:49 2026	1776928849	0	102	102	102
Thu Apr 23 12:50:48 2026	1776928848	0	102	102	102
Thu Apr 23 12:50:49 2026	1776928849	0	102	102	102
Thu Apr 23 12:50:49 2026	1776928849	0	102	102	102
Thu Apr 23 12:50:50 2026	1776928850	0	103	103	102
Thu Apr 23 12:50:46 2026	1776928846	0	103	103	102
Thu Apr 23 12:50:46 2026	1776928846	0	103	103	102
Thu Apr 23 12:50:50 2026	1776928850	0	103	103	102
Thu Apr 23 12:50:50 2026	1776928850	0	103	103	102
Thu Apr 23 12:50:45 2026	1776928845	0	103	103	102
Thu Apr 23 12:50:50 2026	1776928850	0	103	103	102
Thu Apr 23 12:50:46 2026	1776928846	0	103	103	102
Thu Apr 23 12:50:50 2026	1776928850	0	103	103	102
Thu Apr 23 12:50:47 2026	1776928847	0	103	103	102
Thu Apr 23 12:50:46 2026	1776928846	0	103	103	102
Thu Apr 23 12:50:47 2026	1776928847	0	103	103	103
Thu Apr 23 12:50:47 2026	1776928847	0	103	103	103
Thu Apr 23 12:50:48 2026	1776928848	0	103	103	102
Thu Apr 23 12:50:49 2026	1776928849	0	103	103	102
Thu Apr 23 12:50:46 2026	1776928846	0	104	104	103
Thu Apr 23 12:50:44 2026	1776928844	0	106	106	106
Thu Apr 23 12:50:48 2026	1776928848	0	107	107	107
Thu Apr 23 12:50:43 2026	1776928843	0	108	108	108
Thu Apr 23 12:50:43 2026	1776928843	0	110	110	110
Thu Apr 23 12:50:43 2026	1776928843	0	111	111	111
Thu Apr 23 12:50:44 2026	1776928844	0	121	121	120
Thu Apr 23 12:50:43 2026	1776928843	0	136	136	136
Thu Apr 23 12:50:44 2026	1776928844	0	145	145	144
Thu Apr 23 12:50:43 2026	1776928843	0	148	148	147
Thu Apr 23 12:50:25 2026	1776928825	0	149	149	149
