Percentage served,Time in ms
0,3.894
1,4.244
2,4.492
3,4.580
4,4.716
5,4.863
6,4.912
7,4.974
8,5.553
9,5.637
10,5.661
11,5.712
12,5.826
13,5.846
14,6.108
15,6.151
16,6.171
17,6.390
18,6.490
19,6.750
20,6.794
21,6.814
22,7.021
23,7.052
24,7.068
25,7.592
26,7.752
27,7.761
28,7.890
29,8.018
30,8.028
31,8.134
32,8.386
33,8.473
34,8.759
35,8.977
36,9.049
37,9.092
38,9.102
39,9.243
40,9.336
41,9.430
42,9.433
43,9.556
44,9.623
45,9.686
46,10.020
47,10.036
48,10.178
49,10.226
50,10.230
51,10.576
52,10.904
53,11.023
54,11.210
55,11.324
56,11.909
57,11.968
58,12.223
59,12.399
60,12.614
61,13.214
62,13.282
63,13.932
64,15.128
65,15.207
66,16.120
67,16.986
68,17.523
69,18.530
70,18.867
71,19.320
72,19.552
73,19.746
74,22.018
75,22.311
76,24.153
77,24.480
78,24.836
79,25.020
80,25.599
81,27.240
82,29.982
83,32.396
84,44.414
85,57.968
86,118.523
87,119.532
88,130.135
89,207.813
90,235.520
91,288.600
92,371.236
93,998.562
94,2063.116
95,2191.634
96,2254.395
97,5535.755
98,7212.034
99,10301.837
100,10301.837
