starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:58:33 2026	1776929313	0	4	4	4
Thu Apr 23 12:58:33 2026	1776929313	0	4	4	4
Thu Apr 23 12:58:27 2026	1776929307	0	4	4	4
Thu Apr 23 12:58:33 2026	1776929313	0	5	5	4
Thu Apr 23 12:58:35 2026	1776929315	0	5	5	5
Thu Apr 23 12:58:33 2026	1776929313	0	5	5	5
Thu Apr 23 12:58:27 2026	1776929307	0	5	5	5
Thu Apr 23 12:58:33 2026	1776929313	0	5	5	5
Thu Apr 23 12:58:33 2026	1776929313	0	6	6	5
Thu Apr 23 12:58:33 2026	1776929313	0	6	6	5
Thu Apr 23 12:58:27 2026	1776929307	0	6	6	5
Thu Apr 23 12:58:33 2026	1776929313	0	6	6	5
Thu Apr 23 12:58:27 2026	1776929307	0	6	6	6
Thu Apr 23 12:58:26 2026	1776929306	0	6	6	6
Thu Apr 23 12:58:33 2026	1776929313	0	6	6	6
Thu Apr 23 12:58:36 2026	1776929316	0	6	6	6
Thu Apr 23 12:58:36 2026	1776929316	0	6	6	6
Thu Apr 23 12:58:33 2026	1776929313	0	6	6	6
Thu Apr 23 12:58:33 2026	1776929313	0	6	6	6
Thu Apr 23 12:58:33 2026	1776929313	0	7	7	7
Thu Apr 23 12:58:27 2026	1776929307	0	7	7	7
Thu Apr 23 12:58:26 2026	1776929306	0	7	7	7
Thu Apr 23 12:58:36 2026	1776929316	0	7	7	7
Thu Apr 23 12:58:26 2026	1776929306	0	7	7	7
Thu Apr 23 12:58:35 2026	1776929315	0	7	7	7
Thu Apr 23 12:58:35 2026	1776929315	0	8	8	8
Thu Apr 23 12:58:36 2026	1776929316	0	8	8	8
Thu Apr 23 12:58:37 2026	1776929317	0	8	8	8
Thu Apr 23 12:58:37 2026	1776929317	0	8	8	8
Thu Apr 23 12:58:35 2026	1776929315	0	8	8	8
Thu Apr 23 12:58:26 2026	1776929306	0	8	8	8
Thu Apr 23 12:58:36 2026	1776929316	0	8	8	8
Thu Apr 23 12:58:27 2026	1776929307	0	8	8	8
Thu Apr 23 12:58:33 2026	1776929313	0	8	8	8
Thu Apr 23 12:58:27 2026	1776929307	0	9	9	9
Thu Apr 23 12:58:36 2026	1776929316	0	9	9	9
Thu Apr 23 12:58:35 2026	1776929315	0	9	9	9
Thu Apr 23 12:58:36 2026	1776929316	0	9	9	9
Thu Apr 23 12:58:27 2026	1776929307	0	9	9	9
Thu Apr 23 12:58:33 2026	1776929313	0	9	9	9
Thu Apr 23 12:58:33 2026	1776929313	0	9	9	9
Thu Apr 23 12:58:33 2026	1776929313	0	9	9	9
Thu Apr 23 12:58:33 2026	1776929313	0	9	9	9
Thu Apr 23 12:58:27 2026	1776929307	0	10	10	9
Thu Apr 23 12:58:26 2026	1776929306	0	10	10	9
Thu Apr 23 12:58:35 2026	1776929315	0	10	10	10
Thu Apr 23 12:58:33 2026	1776929313	0	10	10	10
Thu Apr 23 12:58:37 2026	1776929317	0	10	10	10
Thu Apr 23 12:58:33 2026	1776929313	0	10	10	10
Thu Apr 23 12:58:26 2026	1776929306	0	10	10	10
Thu Apr 23 12:58:26 2026	1776929306	0	10	10	10
Thu Apr 23 12:58:26 2026	1776929306	0	11	11	10
Thu Apr 23 12:58:26 2026	1776929306	0	11	11	11
Thu Apr 23 12:58:33 2026	1776929313	0	11	11	11
Thu Apr 23 12:58:26 2026	1776929306	0	11	11	11
Thu Apr 23 12:58:33 2026	1776929313	0	11	11	11
Thu Apr 23 12:58:36 2026	1776929316	0	12	12	12
Thu Apr 23 12:58:36 2026	1776929316	0	12	12	12
Thu Apr 23 12:58:33 2026	1776929313	0	12	12	12
Thu Apr 23 12:58:26 2026	1776929306	0	12	12	12
Thu Apr 23 12:58:33 2026	1776929313	0	13	13	12
Thu Apr 23 12:58:27 2026	1776929307	0	13	13	13
Thu Apr 23 12:58:33 2026	1776929313	0	13	13	13
Thu Apr 23 12:58:36 2026	1776929316	0	14	14	14
Thu Apr 23 12:58:33 2026	1776929313	0	15	15	15
Thu Apr 23 12:58:35 2026	1776929315	0	15	15	15
Thu Apr 23 12:58:33 2026	1776929313	0	16	16	16
Thu Apr 23 12:58:36 2026	1776929316	0	17	17	17
Thu Apr 23 12:58:26 2026	1776929306	0	18	18	17
Thu Apr 23 12:58:26 2026	1776929306	0	19	19	18
Thu Apr 23 12:58:37 2026	1776929317	0	19	19	19
Thu Apr 23 12:58:35 2026	1776929315	0	19	19	19
Thu Apr 23 12:58:26 2026	1776929306	0	20	20	19
Thu Apr 23 12:58:33 2026	1776929313	0	20	20	20
Thu Apr 23 12:58:33 2026	1776929313	0	22	22	22
Thu Apr 23 12:58:35 2026	1776929315	0	22	22	22
Thu Apr 23 12:58:27 2026	1776929307	0	24	24	24
Thu Apr 23 12:58:36 2026	1776929316	0	24	24	24
Thu Apr 23 12:58:26 2026	1776929306	0	25	25	25
Thu Apr 23 12:58:36 2026	1776929316	0	25	25	25
Thu Apr 23 12:58:33 2026	1776929313	0	26	26	25
Thu Apr 23 12:58:33 2026	1776929313	0	27	27	27
