timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 16:59:43,0.0,1023.4,1966.88,52.03,21.27,880.84,0.0,0.0,13.34,24.44,54.57,0.0,0.0,1170,3,0,1158,0,0,0,0,26.6
2026-04-23 16:59:45,38.76,1024.02,1966.88,52.06,21.28,880.92,0.0,0.05,13.34,24.44,54.57,0.01,0.0,1171,3,0,1159,0,0,0,0,26.6
2026-04-23 16:59:48,24.43,1024.11,1966.88,52.07,21.28,880.82,0.0,0.01,13.34,24.44,54.57,0.0,0.0,1160,3,0,1148,0,0,0,0,26.4
2026-04-23 16:59:50,31.25,1024.0,1966.88,52.06,21.29,880.92,0.0,0.05,13.34,24.44,54.57,0.0,0.0,1160,3,0,1148,0,0,0,0,26.3
2026-04-23 16:59:53,22.35,1024.1,1966.88,52.07,21.29,880.82,0.0,0.01,13.34,24.44,54.57,0.0,0.0,1151,3,0,1139,0,0,0,0,26.3
2026-04-23 16:59:55,29.75,1023.79,1966.88,52.05,21.29,880.92,0.0,0.04,13.34,24.44,54.57,0.0,0.0,1138,3,0,1126,0,0,0,0,26.5
2026-04-23 16:59:58,24.34,1023.88,1966.88,52.06,21.29,880.82,0.0,0.07,13.34,24.44,54.57,0.0,0.0,1138,3,0,1126,0,0,0,0,26.6
2026-04-23 17:00:00,0.0,1023.8,1966.88,52.05,21.3,880.89,0.0,0.0,13.34,24.44,54.57,0.0,0.0,1126,3,0,1114,0,0,0,0,26.5
2026-04-23 17:00:02,23.91,1023.93,1966.88,52.06,21.3,880.77,0.0,0.03,13.34,24.44,54.57,0.0,0.0,1126,3,0,1114,0,0,0,0,26.2
2026-04-23 17:00:05,39.56,1023.65,1966.88,52.04,21.31,880.86,0.0,0.05,13.34,24.44,54.57,0.2,0.13,2117,1005,0,1103,0,501,0,0,89.7
2026-04-23 17:00:07,36.42,1023.69,1966.88,52.05,21.31,880.81,0.0,0.0,13.34,24.44,54.57,0.02,0.02,1106,1004,0,92,0,501,0,0,98.6
2026-04-23 17:00:10,29.95,1023.62,1966.88,52.04,21.32,880.87,0.0,0.91,13.34,24.44,54.57,0.02,0.02,1112,1002,0,100,0,499,0,0,100.0
2026-04-23 17:00:12,37.65,1023.66,1966.88,52.04,21.32,880.83,0.0,0.0,13.34,24.44,54.57,0.03,0.02,1040,1005,0,26,0,501,0,0,98.7
2026-04-23 17:00:15,29.38,1023.59,1966.88,52.04,21.32,880.89,0.0,0.2,13.34,24.44,54.57,0.02,0.02,1044,1001,0,33,0,501,0,0,100.0
2026-04-23 17:00:18,29.19,1023.66,1966.88,52.04,21.32,880.82,0.0,0.0,13.34,24.44,54.57,0.03,0.02,1054,1004,0,41,0,501,0,0,98.1
2026-04-23 17:00:20,33.53,1023.55,1966.88,52.04,21.33,880.88,0.0,0.03,13.34,24.44,54.57,0.02,0.02,1064,1003,0,50,0,501,0,0,100.0
2026-04-23 17:00:23,27.47,1023.61,1966.88,52.04,21.33,880.86,0.0,0.64,13.34,24.44,54.57,0.02,0.02,1070,1004,0,57,0,501,0,0,92.9
2026-04-23 17:00:25,37.2,1023.55,1966.88,52.04,21.34,880.95,0.0,0.25,13.34,24.44,54.57,0.02,0.02,1073,1004,0,58,0,500,0,0,94.4
2026-04-23 17:00:28,25.27,1023.57,1966.88,52.04,21.34,880.88,0.0,0.0,13.34,24.44,54.57,0.02,0.02,1075,1003,0,62,0,499,0,0,91.8
2026-04-23 17:00:30,29.61,1025.09,1966.88,52.12,21.35,881.14,0.0,0.08,13.34,24.44,54.57,0.02,0.02,1085,1004,0,71,0,500,0,0,97.7
2026-04-23 17:00:33,36.07,1025.15,1966.88,52.12,21.35,881.08,0.0,0.0,13.34,24.44,54.57,0.06,0.03,1184,995,3,173,0,485,0,0,98.5
2026-04-23 17:00:35,50.25,1024.87,1966.88,52.11,21.36,881.34,0.0,0.05,13.34,24.44,54.57,0.37,0.1,2025,951,0,1064,0,454,0,0,93.4
2026-04-23 17:00:38,31.14,1024.8,1966.88,52.1,21.36,881.41,0.0,0.07,13.34,24.44,54.57,0.01,0.01,1993,919,0,1064,0,426,0,0,88.5
2026-04-23 17:00:40,29.17,1024.85,1966.88,52.11,21.37,881.35,0.0,2.61,13.34,24.44,54.57,0.01,0.01,1966,892,0,1064,0,398,0,0,98.9
2026-04-23 17:00:43,23.98,1024.82,1966.88,52.1,21.37,881.25,0.0,0.0,13.34,24.44,54.57,0.01,0.01,1936,862,0,1064,0,365,0,0,90.0
2026-04-23 17:00:46,33.33,1024.86,1966.88,52.11,21.39,881.19,0.0,0.49,13.34,24.44,54.57,0.01,0.0,1916,841,0,1063,0,341,0,0,98.4
2026-04-23 17:00:48,27.07,1024.79,1966.88,52.1,21.39,881.26,0.0,0.0,13.34,24.44,54.57,0.01,0.01,1876,802,0,1063,0,307,0,0,100.0
2026-04-23 17:00:51,30.51,1024.87,1966.88,52.11,21.39,881.18,0.0,0.03,13.34,24.44,54.57,0.01,0.01,1840,766,0,1063,0,268,0,0,94.9
2026-04-23 17:00:53,31.61,1024.8,1966.88,52.1,21.39,881.24,0.0,0.0,13.34,24.44,54.57,0.01,0.01,1808,734,0,1063,0,242,0,0,96.4
2026-04-23 17:00:56,25.7,1024.85,1966.88,52.11,21.4,881.19,0.0,0.04,13.34,24.44,54.57,0.01,0.01,1775,701,0,1063,0,208,0,0,98.4
2026-04-23 17:00:58,33.13,1024.77,1966.88,52.1,21.4,881.27,0.0,0.0,13.34,24.44,54.57,0.01,0.01,1741,667,0,1063,0,171,0,0,96.3
2026-04-23 17:01:01,21.55,1024.81,1966.88,52.1,21.41,881.21,0.0,0.19,13.34,24.44,54.57,0.01,0.01,1706,632,0,1063,0,139,0,0,97.4
