timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 11:33:56,0.0,1051.82,1966.89,53.48,12.95,713.77,0.0,0.0,13.81,24.44,56.5,0.0,0.0,2018,8,0,2002,0,0,0,0,55.35
2026-04-23 11:33:59,40.2,1056.45,1966.89,53.71,12.96,713.98,0.0,0.08,13.81,24.44,56.5,0.18,0.01,2018,7,0,2003,0,0,0,0,60.9
2026-04-23 11:34:00,0.0,1056.87,1966.89,53.73,12.96,714.1,0.0,0.0,13.81,24.44,56.51,0.0,0.0,2018,7,0,2003,0,0,0,0,60.9
2026-04-23 11:34:02,37.27,1056.95,1966.89,53.74,12.97,714.45,0.0,0.06,13.81,24.44,56.51,0.13,0.01,2018,7,0,2003,0,0,0,0,60.9
2026-04-23 11:34:05,44.69,1052.5,1966.89,53.51,12.97,720.54,2.09,0.01,13.81,24.44,56.51,0.3,0.06,2489,129,18,2326,0,21,0,0,100.0
2026-04-23 11:34:07,78.03,1050.44,1966.89,53.41,12.98,725.26,0.0,4.12,13.82,24.44,56.54,0.8,0.21,2839,48,1,2782,0,12,1,0,74.8
2026-04-23 11:34:10,39.22,1051.16,1966.89,53.44,12.98,725.64,0.0,0.0,13.82,24.44,56.54,0.23,0.02,2878,47,0,2823,0,11,1,0,74.8
2026-04-23 11:34:13,41.04,1050.86,1966.89,53.43,12.98,726.18,0.0,4.32,13.82,24.44,56.54,0.23,0.01,2103,44,0,2051,0,7,1,0,74.8
2026-04-23 11:34:16,31.96,1050.69,1966.89,53.42,12.98,726.56,0.0,1.86,13.82,24.44,56.55,0.23,0.01,2102,43,0,2051,0,0,1,0,74.8
2026-04-23 11:34:19,31.8,1050.33,1966.89,53.4,12.99,726.91,0.0,0.07,13.82,24.44,56.55,0.23,0.01,2066,7,0,2051,0,0,1,0,56.7
2026-04-23 11:34:22,32.09,1049.89,1966.89,53.38,13.0,727.38,0.0,1.58,13.82,24.44,56.55,0.22,0.01,2066,7,0,2051,0,0,1,0,56.65
2026-04-23 11:34:26,35.27,1049.7,1966.89,53.37,13.0,727.53,0.0,1.71,13.82,24.44,56.55,0.11,0.01,2066,7,0,2051,0,0,1,0,56.65
2026-04-23 11:34:29,32.16,1049.69,1966.89,53.37,13.01,727.76,0.0,0.04,13.82,24.44,56.55,0.1,0.01,2066,7,0,2051,0,0,1,0,56.6
2026-04-23 11:34:32,28.78,1049.57,1966.89,53.36,13.01,727.88,0.0,0.0,13.82,24.44,56.55,0.08,0.01,2066,7,0,2051,0,0,1,0,56.6
2026-04-23 11:34:35,29.17,1049.16,1966.89,53.34,13.02,728.3,0.0,0.04,13.82,24.44,56.55,0.16,0.01,2066,7,0,2051,0,0,1,0,56.6
2026-04-23 11:34:38,28.1,1048.92,1966.89,53.33,13.02,728.52,0.0,0.1,13.82,24.44,56.55,0.15,0.01,2066,7,0,2051,0,0,1,0,56.6
2026-04-23 11:34:41,29.63,1048.68,1966.89,53.32,13.02,728.75,0.0,0.22,13.82,24.44,56.55,0.17,0.01,2066,7,0,2051,0,0,1,0,56.6
