timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 15:56:45,0.0,1156.48,1966.88,58.8,10.42,789.08,0.0,0.0,13.35,24.44,54.64,0.0,0.0,20,11,0,1,0,0,0,0,14.7
2026-04-23 15:56:47,19.74,1158.95,1966.88,58.92,10.88,792.43,1.88,1.07,13.35,24.44,54.64,0.01,0.0,20,10,0,2,0,0,0,0,14.6
2026-04-23 15:56:50,6.38,1156.95,1966.88,58.82,10.88,792.49,0.0,0.0,13.35,24.44,54.64,0.0,0.0,20,10,0,2,0,0,0,0,14.6
2026-04-23 15:56:52,12.28,1157.21,1966.88,58.84,10.89,792.4,0.8,0.14,13.35,24.44,54.64,0.0,0.0,20,10,0,2,0,0,0,0,14.6
2026-04-23 15:56:55,38.65,1156.55,1966.88,58.8,10.89,792.95,0.89,0.0,13.35,24.44,54.64,0.0,0.0,20,10,0,2,0,0,0,0,14.5
2026-04-23 15:56:57,34.16,1156.4,1966.88,58.79,10.9,793.04,0.0,0.04,13.35,24.44,54.64,0.0,0.0,20,10,0,2,0,0,0,0,14.5
2026-04-23 15:57:00,0.0,1156.5,1966.88,58.8,10.9,792.95,0.0,0.0,13.35,24.44,54.64,0.0,0.0,20,10,0,2,0,0,0,0,14.5
2026-04-23 15:57:02,22.35,1156.42,1966.88,58.79,10.91,793.02,0.0,0.06,13.35,24.44,54.64,0.0,0.0,20,10,0,2,0,0,0,0,14.5
2026-04-23 15:57:05,35.58,1156.52,1966.88,58.8,10.91,792.93,0.0,0.16,13.35,24.44,54.64,0.01,0.0,73,14,49,2,0,49,0,0,100.0
2026-04-23 15:57:07,51.76,1156.36,1966.88,58.79,10.91,793.07,0.0,0.05,13.35,24.44,54.64,0.18,0.05,543,108,2,425,0,49,0,0,100.0
2026-04-23 15:57:10,58.17,1156.23,1966.88,58.78,10.91,793.18,0.0,0.0,13.35,24.44,54.64,0.32,0.08,1355,109,2,1236,0,49,0,0,100.0
2026-04-23 15:57:13,61.45,1151.92,1966.88,58.57,10.92,797.53,0.0,2.4,13.36,24.44,54.67,0.28,0.07,2069,108,0,1953,0,49,0,0,100.0
2026-04-23 15:57:16,30.21,1151.99,1966.88,58.57,10.93,797.43,0.0,0.88,13.36,24.44,54.67,0.0,0.0,2068,108,0,1952,0,49,0,0,100.0
2026-04-23 15:57:19,30.1,1151.89,1966.88,58.56,10.93,797.53,0.0,6.67,13.36,24.44,54.67,0.0,0.0,2068,108,0,1952,0,49,0,0,100.0
2026-04-23 15:57:22,25.85,1151.9,1966.88,58.56,10.94,797.5,0.11,0.04,13.36,24.44,54.67,0.0,0.0,2068,108,0,1952,0,49,0,0,100.0
2026-04-23 15:57:25,29.94,1151.83,1966.88,58.56,10.95,797.56,0.04,0.23,13.36,24.44,54.67,0.0,0.0,2068,108,0,1952,0,49,0,0,100.0
2026-04-23 15:57:28,26.4,1150.61,1966.88,58.5,10.95,797.48,0.0,0.06,13.36,24.44,54.67,0.0,0.0,2068,108,0,1952,0,49,0,0,100.0
2026-04-23 15:57:30,30.77,1150.5,1966.88,58.49,10.96,797.58,0.0,0.04,13.36,24.44,54.67,0.0,0.0,2068,108,0,1952,0,49,0,0,
2026-04-23 15:57:33,29.08,1150.59,1966.88,58.5,10.96,797.48,0.0,0.0,13.36,24.44,54.67,0.0,0.0,2062,96,0,1958,0,43,0,0,100.0
2026-04-23 15:57:36,26.11,1150.62,1966.88,58.5,10.97,797.45,0.0,0.06,13.36,24.44,54.67,0.0,0.0,2049,82,0,1958,0,29,0,0,100.0
2026-04-23 15:57:39,32.56,1150.52,1966.88,58.49,10.98,797.54,0.0,0.04,13.36,24.44,54.67,0.04,0.01,2133,71,0,2054,0,16,0,0,64.0
2026-04-23 15:57:42,32.3,1150.41,1966.88,58.49,10.98,797.47,0.0,0.04,13.36,24.44,54.67,0.0,0.0,2127,65,0,2054,0,9,0,0,36.4
2026-04-23 15:57:44,24.35,1150.29,1966.88,58.48,10.98,797.55,0.0,0.0,13.36,24.44,54.67,0.01,0.0,2072,10,0,2054,0,0,0,0,31.2
