timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-22 17:32:07,24.36,1018.06,1966.89,51.76,18.78,712.89,6.52,0.06,13.18,24.44,53.95,0.01,0.01,37,3,0,26,0,0,0,0,36.8
2026-04-22 17:32:10,5.99,1020.25,1966.89,51.87,18.79,728.71,4.86,0.25,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.8
2026-04-22 17:32:13,19.51,1021.84,1966.89,51.95,18.79,728.77,0.01,0.0,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.8
2026-04-22 17:32:16,17.41,1026.01,1966.89,52.16,18.79,728.84,0.49,0.06,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.7
2026-04-22 17:32:19,11.44,1021.86,1966.89,51.95,18.79,733.37,0.87,0.47,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.7
2026-04-22 17:32:22,13.33,1021.16,1966.89,51.92,18.8,733.31,0.09,0.05,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.7
2026-04-22 17:32:25,11.79,1021.16,1966.89,51.92,18.81,733.5,0.02,0.14,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.7
2026-04-22 17:32:28,18.75,1021.18,1966.89,51.92,18.81,733.45,0.0,0.16,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.7
2026-04-22 17:32:30,11.17,1021.11,1966.89,51.92,18.82,733.51,0.0,0.07,13.18,24.44,53.95,0.0,0.0,14,5,0,1,0,0,0,0,36.7
2026-04-22 17:32:33,21.28,1021.09,1966.89,51.91,18.82,733.54,0.01,1.42,13.18,24.44,53.95,0.0,0.0,15,5,0,1,0,0,0,0,36.7
2026-04-22 17:32:36,15.29,1021.79,1966.89,51.95,18.82,733.6,0.0,0.04,13.18,24.44,53.95,0.0,0.0,15,5,0,1,0,0,0,0,36.6
2026-04-22 17:32:39,12.76,1021.87,1966.89,51.95,18.82,733.48,0.0,0.0,13.18,24.44,53.95,0.0,0.0,15,6,0,1,0,0,0,0,36.6
2026-04-22 17:32:42,16.58,1021.77,1966.89,51.95,18.83,733.58,0.0,0.04,13.18,24.44,53.95,0.0,0.0,15,6,0,1,0,0,0,0,36.6
2026-04-22 17:32:44,11.3,1021.73,1966.89,51.95,18.84,733.61,0.01,0.05,13.18,24.44,53.95,0.0,0.0,15,6,0,1,0,0,0,0,36.6
2026-04-22 17:32:47,10.77,1021.8,1966.89,51.95,18.84,733.54,0.0,0.01,13.18,24.44,53.95,0.0,0.0,15,6,0,1,0,0,0,0,36.6
2026-04-22 17:32:50,13.48,1021.71,1966.89,51.95,18.85,733.61,0.0,0.13,13.18,24.44,53.95,0.0,0.0,15,6,0,1,0,0,0,0,36.6
2026-04-22 17:32:53,15.35,1020.94,1966.89,51.91,18.86,734.39,0.43,0.14,13.18,24.44,53.95,0.0,0.0,16,5,0,1,0,0,0,0,36.6
2026-04-22 17:32:56,14.72,1020.62,1966.89,51.89,18.86,734.67,0.01,0.04,13.18,24.44,53.95,0.0,0.0,15,5,0,1,0,0,0,0,36.6
2026-04-22 17:32:58,17.14,1020.7,1966.89,51.89,18.86,734.59,0.0,0.0,13.18,24.44,53.95,0.0,0.0,15,5,0,1,0,0,0,0,36.6
2026-04-22 17:33:00,0.0,1020.63,1966.89,51.89,18.87,734.63,0.0,0.0,13.18,24.44,53.95,0.0,0.0,15,5,0,1,0,0,0,0,36.6
2026-04-22 17:33:02,18.24,1020.45,1966.89,51.88,18.87,734.7,0.0,0.0,13.18,24.44,53.95,0.0,0.0,15,5,0,1,0,0,0,0,36.6
2026-04-22 17:33:05,40.82,1020.3,1966.89,51.87,18.88,734.85,0.01,2.1,13.18,24.44,53.95,0.43,0.19,664,115,322,78,0,49,0,0,100.0
2026-04-22 17:33:08,48.02,1021.16,1966.89,51.92,18.88,735.09,0.0,0.05,13.18,24.44,53.95,0.72,0.28,622,591,0,22,0,49,1,0,23.9
2026-04-22 17:33:12,20.38,1021.04,1966.89,51.91,18.89,735.21,0.0,0.04,13.18,24.44,53.95,0.0,0.0,622,591,0,22,0,49,1,0,61.95
2026-04-22 17:33:16,14.93,1020.99,1966.89,51.91,18.89,735.25,0.01,0.91,13.18,24.44,53.95,0.0,0.0,622,591,0,22,0,49,1,0,61.95
2026-04-22 17:33:20,19.68,1020.86,1966.89,51.9,18.9,735.25,0.0,4.12,13.18,24.44,53.95,0.0,0.0,622,591,0,22,0,49,1,0,61.95
