timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-22 16:34:00,0.0,1176.06,1966.89,59.79,12.02,789.29,0.0,0.0,13.15,24.44,53.79,0.0,0.0,13,5,0,0,0,0,0,0,36.5
2026-04-22 16:34:10,59.81,1175.99,1966.89,59.79,12.04,789.31,0.0,0.02,13.15,24.44,53.79,0.01,0.0,115,107,0,0,0,51,0,0,100.0
2026-04-22 16:34:22,35.19,1175.96,1966.89,59.79,12.05,789.32,0.0,0.03,13.15,24.44,53.79,0.0,0.0,115,107,0,0,0,51,1,0,61.65
2026-04-22 16:34:34,67.7,1175.83,1966.89,59.78,12.07,789.44,0.0,0.17,13.15,24.44,53.79,0.08,0.06,115,106,0,0,0,51,1,0,100.0
2026-04-22 16:34:45,56.11,1175.7,1966.89,59.77,12.09,789.48,0.0,0.09,13.15,24.44,53.8,0.04,0.03,115,106,0,0,0,51,1,0,61.9
2026-04-22 16:34:57,39.39,1175.52,1966.89,59.77,12.11,789.62,0.0,0.79,13.15,24.44,53.8,0.01,0.01,116,107,0,0,0,50,1,0,100.0
2026-04-22 16:35:08,54.19,1175.43,1966.89,59.76,12.12,789.69,0.0,0.02,13.15,24.44,53.8,0.02,0.02,115,107,0,0,0,51,1,1,49.17
2026-04-22 16:35:21,48.03,1173.43,1966.89,59.66,12.02,787.32,0.07,0.48,13.15,24.44,53.8,0.01,0.01,115,106,0,0,0,50,1,1,55.47
2026-04-22 16:35:34,62.88,1174.02,1966.89,59.69,12.04,787.6,0.0,0.24,13.15,24.44,53.8,0.13,0.06,90,75,0,7,0,21,1,1,53.27
2026-04-22 16:35:47,36.75,1174.52,1966.89,59.71,12.05,787.71,0.0,0.02,13.15,24.44,53.8,0.0,0.0,20,5,0,7,0,0,1,1,27.93
2026-04-22 16:35:59,36.4,1173.93,1966.89,59.68,12.07,787.59,0.0,1.08,13.15,24.44,53.8,0.0,0.0,20,4,0,8,0,0,1,0,29.9
