timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 14:59:50,0.0,1054.88,1966.88,53.63,12.11,764.58,0.0,0.0,13.33,24.44,54.55,0.0,0.0,113,5,0,100,0,0,0,0,
2026-04-23 14:59:53,37.5,1061.13,1966.88,53.95,12.11,764.49,0.0,0.05,13.33,24.44,54.55,0.01,0.0,114,5,0,101,0,0,0,0,100.0
2026-04-23 14:59:56,24.52,1061.17,1966.88,53.95,12.12,764.44,0.0,0.21,13.33,24.44,54.55,0.0,0.0,114,5,0,101,0,0,0,0,100.0
2026-04-23 14:59:59,29.02,1061.11,1966.88,53.95,12.12,764.5,0.0,0.0,13.33,24.44,54.55,0.0,0.0,114,5,0,101,0,0,0,0,100.0
2026-04-23 15:00:02,29.9,1061.18,1966.88,53.95,12.13,764.43,0.0,0.04,13.33,24.44,54.55,0.0,0.0,115,5,0,101,0,0,0,0,
2026-04-23 15:00:05,47.19,1053.93,1966.88,53.58,12.67,818.02,17.55,0.0,13.33,24.44,54.55,0.0,0.0,114,5,0,101,0,0,0,0,100.0
2026-04-23 15:00:08,53.61,1056.14,1966.88,53.7,13.98,891.68,25.25,0.11,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:11,28.22,1059.78,1966.88,53.88,14.07,891.88,0.13,0.29,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:14,30.0,1060.11,1966.88,53.9,14.08,891.78,0.0,0.82,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:17,26.94,1060.0,1966.88,53.89,14.08,891.88,0.0,0.0,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:20,23.47,1060.05,1966.88,53.9,14.09,891.82,0.0,0.04,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:23,26.83,1060.1,1966.88,53.9,14.09,891.77,0.0,0.0,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,
2026-04-23 15:00:26,29.8,1060.0,1966.88,53.89,14.09,891.82,0.0,0.28,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,
2026-04-23 15:00:29,27.55,1060.07,1966.88,53.9,14.09,891.78,0.0,0.0,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:32,30.3,1059.99,1966.88,53.89,14.1,891.86,0.0,0.05,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:35,27.5,1060.0,1966.88,53.89,14.13,891.81,0.0,0.41,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:38,23.44,1059.93,1966.88,53.89,14.13,891.89,0.0,0.0,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:41,27.86,1059.98,1966.88,53.89,14.14,891.83,0.02,0.04,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:44,31.09,1059.91,1966.88,53.89,14.14,891.89,0.0,0.22,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,96.8
2026-04-23 15:00:47,29.32,1059.93,1966.88,53.89,14.15,891.86,0.0,0.67,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:50,26.47,1059.99,1966.88,53.89,14.15,891.8,0.0,0.0,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,28.9
2026-04-23 15:00:53,25.24,1059.9,1966.88,53.89,14.16,891.88,0.0,0.06,13.33,24.44,54.55,0.0,0.0,14,5,0,1,0,0,0,0,100.0
2026-04-23 15:00:56,26.44,1059.96,1966.88,53.89,14.16,891.82,0.11,0.0,13.33,24.44,54.55,0.0,0.0,13,5,0,0,0,0,0,0,100.0
2026-04-23 15:01:00,0.0,1059.82,1966.88,53.88,14.17,891.95,0.0,0.0,13.33,24.44,54.55,0.0,0.0,14,5,0,0,0,0,0,0,100.0
2026-04-23 15:01:03,28.14,1059.92,1966.88,53.89,14.17,891.85,0.0,0.0,13.33,24.44,54.55,0.0,0.0,15,7,0,0,0,32,0,0,100.0
2026-04-23 15:01:06,43.59,1060.11,1966.88,53.9,14.18,891.81,0.0,0.12,13.33,24.44,54.55,0.19,0.13,439,431,0,0,0,216,0,0,
2026-04-23 15:01:09,36.04,1059.91,1966.88,53.89,14.18,891.93,0.0,0.0,13.33,24.44,54.55,0.07,0.08,583,574,0,1,0,261,0,0,100.0
2026-04-23 15:01:12,28.02,1059.93,1966.88,53.89,14.19,891.87,0.0,0.05,13.33,24.44,54.55,0.01,0.01,593,583,0,1,1,261,0,0,100.0
2026-04-23 15:01:15,33.67,1060.59,1966.88,53.92,14.2,891.93,0.01,1.63,13.33,24.44,54.55,0.01,0.01,576,567,0,1,0,255,0,0,
2026-04-23 15:01:18,31.66,1060.66,1966.88,53.93,14.2,891.87,0.0,0.05,13.33,24.44,54.55,0.01,0.0,576,567,0,1,0,255,0,0,100.0
2026-04-23 15:01:21,35.78,1062.45,1966.88,54.02,14.23,892.99,0.64,0.54,13.33,24.44,54.55,0.01,0.01,578,569,0,1,0,255,0,0,100.0
2026-04-23 15:01:24,29.0,1066.05,1966.88,54.2,14.23,892.91,0.0,0.07,13.33,24.44,54.55,0.02,0.0,577,568,0,1,0,255,0,0,100.0
2026-04-23 15:01:27,28.02,1065.41,1966.88,54.17,14.24,893.04,0.0,0.05,13.33,24.44,54.55,0.01,0.01,577,568,0,1,0,255,0,0,100.0
2026-04-23 15:01:30,40.91,1071.0,1966.88,54.45,12.54,908.27,11.12,0.06,13.33,24.44,54.55,0.01,0.01,580,571,0,1,0,255,0,0,100.0
2026-04-23 15:01:33,32.67,1074.34,1966.88,54.62,12.54,908.11,0.0,0.03,13.33,24.44,54.55,0.01,0.01,580,571,0,1,0,255,0,0,100.0
2026-04-23 15:01:36,31.16,1074.14,1966.88,54.61,12.55,908.2,0.0,0.06,13.33,24.44,54.55,0.01,0.01,580,571,0,1,0,255,0,0,
2026-04-23 15:01:39,31.0,1074.23,1966.88,54.62,12.55,908.14,0.0,0.0,13.33,24.44,54.55,0.01,0.01,580,571,0,1,0,255,0,0,100.0
2026-04-23 15:01:42,31.0,1074.11,1966.88,54.61,12.56,908.24,0.02,0.04,13.33,24.44,54.55,0.0,0.0,580,571,0,1,0,255,0,0,
2026-04-23 15:01:45,26.96,1071.23,1966.88,54.46,12.57,907.96,0.05,0.05,13.33,24.44,54.55,0.01,0.01,580,571,0,1,0,255,0,0,100.0
2026-04-23 15:01:48,27.01,1068.9,1966.88,54.34,12.57,908.06,0.0,0.43,13.33,24.44,54.55,0.01,0.01,580,571,0,1,0,255,0,0,100.0
2026-04-23 15:01:51,30.29,1069.0,1966.88,54.35,12.57,907.96,0.0,0.1,13.33,24.44,54.55,0.01,0.01,580,571,0,1,0,255,0,0,100.0
2026-04-23 15:01:54,28.72,1068.89,1966.88,54.34,12.57,908.07,0.0,0.01,13.33,24.44,54.55,0.0,0.0,580,571,0,1,0,255,0,0,100.0
2026-04-23 15:01:57,31.44,1068.95,1966.88,54.35,12.58,908.0,0.0,0.13,13.33,24.44,54.55,0.01,0.01,599,590,0,1,0,264,0,0,100.0
2026-04-23 15:02:00,29.06,1069.22,1966.88,54.36,12.58,907.96,0.0,0.0,13.33,24.44,54.55,0.01,0.01,598,589,0,1,0,291,0,0,100.0
2026-04-23 15:02:03,35.29,1069.47,1966.88,54.37,12.59,908.04,0.0,0.06,13.33,24.44,54.55,0.08,0.06,782,771,0,2,1,319,0,0,100.0
2026-04-23 15:02:06,34.23,1069.48,1966.88,54.37,12.6,907.99,0.0,0.04,13.33,24.44,54.55,0.06,0.04,847,837,0,2,0,389,0,0,
2026-04-23 15:02:09,34.33,1069.62,1966.88,54.38,12.6,908.06,0.0,0.0,13.33,24.44,54.55,0.02,0.01,866,856,0,2,0,377,0,0,100.0
2026-04-23 15:02:12,37.31,1069.66,1966.88,54.38,12.61,908.02,0.0,0.04,13.33,24.44,54.55,0.04,0.03,845,831,0,6,0,376,0,0,
2026-04-23 15:02:15,34.87,1069.54,1966.88,54.38,12.61,908.13,0.0,0.0,13.33,24.44,54.55,0.03,0.02,769,755,0,6,0,329,0,0,
2026-04-23 15:02:18,29.67,1069.57,1966.88,54.38,12.64,908.07,0.01,1.72,13.33,24.44,54.55,0.01,0.0,767,753,0,6,0,327,0,0,100.0
2026-04-23 15:02:21,25.85,1069.62,1966.88,54.38,12.64,908.01,0.0,0.04,13.33,24.44,54.55,0.0,0.0,786,772,0,6,0,336,0,0,100.0
2026-04-23 15:02:24,29.76,1069.52,1966.88,54.38,12.64,908.11,0.0,0.63,13.33,24.44,54.55,0.01,0.01,794,780,0,6,0,334,0,0,
2026-04-23 15:02:27,31.44,1069.6,1966.88,54.38,12.65,908.02,0.0,0.11,13.33,24.44,54.55,0.01,0.01,796,782,0,6,0,339,0,0,
2026-04-23 15:02:30,29.74,1069.5,1966.88,54.38,12.65,908.12,0.0,0.0,13.33,24.44,54.55,0.01,0.01,834,820,0,6,0,358,0,0,100.0
2026-04-23 15:02:33,30.3,1069.55,1966.88,54.38,12.66,908.07,0.0,0.08,13.33,24.44,54.55,0.01,0.01,853,830,9,6,0,356,0,0,100.0
2026-04-23 15:02:36,26.21,1069.45,1966.88,54.37,12.66,908.16,0.0,0.0,13.33,24.44,54.55,0.01,0.01,840,826,0,6,0,330,0,0,100.0
2026-04-23 15:02:39,28.3,1069.5,1966.88,54.38,12.67,908.11,0.0,0.04,13.33,24.44,54.55,0.02,0.02,805,790,0,7,0,330,0,0,100.0
2026-04-23 15:02:42,26.37,1069.54,1966.88,54.38,12.68,908.06,0.0,0.04,13.33,24.44,54.55,0.0,0.0,805,790,0,7,0,329,0,0,100.0
2026-04-23 15:02:45,31.98,1069.49,1966.88,54.37,12.68,908.12,0.0,0.0,13.33,24.44,54.55,0.03,0.02,857,842,0,7,0,355,0,0,100.0
