secs,avg_load
0,26.5
3,26.6
5,26.6
8,26.4
10,26.4
13,26.3
16,26.5
18,26.4
21,26.5
23,26.7
26,26.6
28,26.4
31,26.3
33,26.4
36,26.5
39,26.6
42,26.6
44,26.5
47,26.5
49,26.6
52,26.4
55,26.5
57,26.5
60,26.6
61,26.6
63,26.4
66,89.8
68,79.6
71,97.1
73,100.0
76,91.7
79,91.1
81,100.0
84,96.9
86,87.2
89,100.0
91,83.3
94,100.0
96,98.3
99,100.0
101,98.1
104,95.1
106,100.0
109,100.0
112,100.0
114,98.1
117,98.2
119,98.8
122,95.7
124,88.2
127,97.1
129,81.2
132,70.4
134,77.2
137,68.2
140,97.5
142,68.1
145,74.7
147,26.6
