timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 11:00:00,0.0,1009.8,1966.89,51.34,13.63,917.59,0.0,0.0,13.44,24.44,55.0,0.0,0.0,16,7,0,0,0,0,0,0,19.2
2026-04-23 11:00:02,38.6,1009.77,1966.89,51.34,13.7,917.79,0.05,0.0,13.44,24.44,55.0,0.15,0.0,15,7,0,0,0,0,0,0,19.3
2026-04-23 11:00:05,29.26,1010.03,1966.89,51.35,13.71,918.21,0.0,0.21,13.44,24.44,55.0,0.17,0.01,16,8,0,0,0,1,0,0,24.9
2026-04-23 11:00:07,88.24,1011.21,1966.89,51.41,13.71,918.48,0.0,0.0,13.44,24.44,55.01,0.53,0.12,1070,547,2,504,0,50,0,0,100.0
2026-04-23 11:00:10,100.0,1007.25,1966.89,51.21,13.72,923.09,0.0,0.04,13.45,24.44,55.04,0.57,0.14,2065,544,0,1513,0,50,1,0,57.45
2026-04-23 11:00:13,64.16,1007.27,1966.89,51.21,13.21,910.39,0.0,2.4,13.45,24.44,55.04,0.23,0.04,2065,107,0,1950,0,50,1,0,57.45
2026-04-23 11:00:17,51.37,1007.59,1966.89,51.23,13.21,911.03,0.0,0.0,13.45,24.44,55.04,0.27,0.01,2065,107,0,1950,0,50,1,0,57.45
2026-04-23 11:00:20,57.44,1007.66,1966.89,51.23,13.22,911.59,0.0,4.42,13.45,24.44,55.05,0.34,0.01,2065,107,0,1950,0,50,1,0,57.45
2026-04-23 11:00:24,58.73,1009.12,1966.89,51.31,13.23,912.34,0.0,0.07,13.45,24.44,55.05,0.43,0.02,2066,107,0,1950,0,49,1,0,57.45
2026-04-23 11:00:27,45.87,1009.29,1966.89,51.31,13.25,913.07,0.01,2.6,13.45,24.44,55.05,0.32,0.02,2061,99,0,1953,0,45,1,0,57.45
2026-04-23 11:00:30,39.24,1008.93,1966.89,51.3,13.25,913.67,0.0,0.16,13.45,24.44,55.05,0.43,0.04,2026,64,0,1953,0,1,1,0,90.6
2026-04-23 11:00:33,43.23,1008.44,1966.89,51.27,13.25,914.55,0.0,0.21,13.45,24.44,55.06,0.43,0.04,1971,9,0,1953,0,0,1,0,30.0
2026-04-23 11:00:37,34.57,1008.61,1966.89,51.28,13.26,914.88,0.0,0.14,13.45,24.44,55.06,0.16,0.02,2019,7,0,2003,0,0,1,0,29.95
2026-04-23 11:00:40,34.65,1016.61,1966.89,51.69,12.41,905.29,9.72,2.93,13.47,24.44,55.11,0.14,0.01,2019,7,0,2004,0,0,1,0,29.85
