timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 12:57:33,0.0,913.32,1966.89,46.44,42.45,926.45,0.0,0.0,13.37,24.44,54.7,0.0,0.0,14,6,0,0,0,0,0,0,54.1
2026-04-23 12:57:35,31.69,913.36,1966.89,46.44,42.46,926.41,0.0,0.06,13.37,24.44,54.7,0.01,0.0,14,5,0,1,0,0,0,0,54.0
2026-04-23 12:57:38,31.82,913.31,1966.89,46.43,42.46,926.46,0.0,0.0,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,54.0
2026-04-23 12:57:40,23.84,913.36,1966.89,46.44,42.47,926.41,0.0,0.04,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,54.0
2026-04-23 12:57:43,24.56,913.3,1966.89,46.43,42.47,926.46,0.0,0.01,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
2026-04-23 12:57:45,31.01,913.35,1966.89,46.44,42.48,926.41,0.0,0.04,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
2026-04-23 12:57:48,21.11,913.32,1966.89,46.43,42.48,926.44,0.0,0.0,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
2026-04-23 12:57:50,26.06,913.37,1966.89,46.44,42.48,926.38,0.0,0.03,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
2026-04-23 12:57:53,27.78,913.29,1966.89,46.43,42.48,926.46,0.0,0.14,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
2026-04-23 12:57:55,21.67,913.2,1966.89,46.43,42.49,926.43,0.0,0.12,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
2026-04-23 12:57:58,31.21,913.15,1966.89,46.43,42.49,926.47,0.0,0.0,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
2026-04-23 12:58:00,0.0,913.12,1966.89,46.42,42.5,926.49,0.0,0.0,13.37,24.44,54.7,0.0,0.0,14,5,0,1,0,0,0,0,53.9
