timestamp,cpu_usage_pct,mem_used_mb,mem_total_mb,mem_usage_pct,buffers_mb,cached_mb,disk_read_mb_s,disk_write_mb_s,disk_used_gb,disk_total_gb,disk_usage_pct,net_rx_mb_s,net_tx_mb_s,total_connections,established,syn_recv,time_wait,close_wait,haproxy_active_conns,server2_up,server3_up,avg_load_pct
2026-04-23 17:04:49,0.0,1035.26,1966.88,52.63,21.82,885.99,0.0,0.0,13.34,24.44,54.61,0.0,0.0,12,3,0,0,0,0,0,0,26.7
2026-04-23 17:04:51,50.64,1016.13,1966.88,51.66,19.79,874.37,0.62,0.9,13.34,24.44,54.61,0.01,0.0,13,3,0,1,0,0,0,0,26.6
2026-04-23 17:04:54,23.12,1016.16,1966.88,51.66,19.79,874.31,0.0,0.0,13.34,24.44,54.61,0.0,0.0,13,3,0,1,0,0,0,0,26.3
2026-04-23 17:04:57,27.01,1016.04,1966.88,51.66,19.8,874.4,0.0,0.05,13.34,24.44,54.61,0.0,0.0,13,3,0,1,0,0,0,0,26.4
2026-04-23 17:05:00,0.0,1014.55,1966.88,51.58,19.88,875.98,0.0,0.0,13.34,24.44,54.61,0.0,0.0,14,3,0,1,0,0,0,0,26.5
2026-04-23 17:05:02,22.16,1014.44,1966.88,51.58,19.88,876.08,0.0,0.25,13.34,24.44,54.61,0.0,0.0,12,3,0,1,0,1,0,0,26.5
2026-04-23 17:05:05,39.05,1015.13,1966.88,51.61,19.88,875.98,0.0,0.06,13.34,24.44,54.61,0.07,0.04,247,237,0,2,0,138,0,0,98.5
2026-04-23 17:05:07,35.36,1015.07,1966.88,51.61,19.88,876.54,0.0,0.07,13.34,24.44,54.61,0.06,0.05,470,456,0,6,0,240,0,0,98.2
2026-04-23 17:05:10,33.16,1016.35,1966.88,51.67,19.89,876.45,0.0,0.69,13.34,24.44,54.61,0.09,0.07,800,769,9,11,0,412,0,0,87.5
2026-04-23 17:05:13,38.82,1017.08,1966.88,51.71,19.89,876.56,0.0,0.0,13.34,24.44,54.61,0.05,0.05,952,926,0,16,0,430,0,0,95.7
2026-04-23 17:05:15,23.2,1017.09,1966.88,51.71,19.9,876.46,0.0,0.06,13.34,24.44,54.61,0.01,0.03,947,920,0,17,0,421,0,0,91.3
2026-04-23 17:05:18,34.12,1017.01,1966.88,51.71,19.9,876.54,0.0,1.36,13.34,24.44,54.61,0.02,0.04,959,927,0,21,0,412,0,0,100.0
2026-04-23 17:05:20,33.9,1017.27,1966.88,51.72,19.91,876.49,0.0,0.05,13.34,24.44,54.61,0.02,0.04,987,950,0,26,0,403,0,0,100.0
2026-04-23 17:05:23,28.18,1017.37,1966.88,51.73,19.91,876.56,0.0,0.0,13.34,24.44,54.61,0.02,0.04,992,951,0,31,0,401,0,0,95.8
2026-04-23 17:05:25,39.76,1017.44,1966.88,51.73,19.92,876.48,0.0,0.1,13.34,24.44,54.61,0.02,0.04,1028,976,0,35,0,396,0,0,97.6
2026-04-23 17:05:28,24.23,1017.55,1966.88,51.73,19.92,876.58,0.0,0.0,13.34,24.44,54.61,0.02,0.04,1023,971,0,41,0,376,0,0,98.1
2026-04-23 17:05:30,37.65,1017.49,1966.88,51.73,19.93,876.54,0.0,0.24,13.34,24.44,54.61,0.02,0.03,1009,950,0,47,0,367,0,0,94.7
2026-04-23 17:05:33,31.18,1017.43,1966.88,51.73,19.93,876.6,0.0,0.0,13.34,24.44,54.61,0.03,0.04,1053,991,0,51,0,410,0,0,96.7
2026-04-23 17:05:36,31.67,1017.27,1966.88,51.72,19.93,876.7,0.0,0.04,13.34,24.44,54.61,0.03,0.05,1112,1049,0,52,0,432,0,0,100.0
2026-04-23 17:05:38,35.47,1017.64,1966.88,51.74,19.93,876.76,0.0,0.0,13.34,24.44,54.61,0.03,0.04,1158,1095,0,53,0,451,0,0,99.1
2026-04-23 17:05:41,30.26,1017.59,1966.88,51.74,19.94,876.74,0.0,0.04,13.34,24.44,54.61,0.05,0.06,1221,1104,0,107,0,428,0,0,100.0
2026-04-23 17:05:43,37.5,1016.39,1966.88,51.68,19.94,876.83,0.0,0.0,13.34,24.44,54.61,0.01,0.04,1196,1063,0,123,0,391,0,0,93.9
2026-04-23 17:05:46,30.65,1016.45,1966.88,51.68,19.96,876.76,0.0,2.02,13.34,24.44,54.61,0.03,0.04,1218,1026,0,182,0,361,0,0,94.3
2026-04-23 17:05:48,34.73,1016.34,1966.88,51.67,19.96,876.86,0.0,0.74,13.34,24.44,54.61,0.02,0.03,1186,975,0,201,0,328,0,0,97.4
2026-04-23 17:05:51,30.9,1017.96,1966.88,51.75,19.96,876.93,0.0,0.04,13.34,24.44,54.61,0.01,0.03,1168,941,0,217,0,299,0,0,98.8
